FID,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,Shape_Leng,Shape_Area,GISJOIN_1,STATE,COUNTY,NAME_E,TOT_POP,COLL_AGE,YNG_PROF,SENIOR,MED_AGE,R_WHITE,NON_WH,R_BLACK,R_NAT_A,R_ASIAN,R_PACIF,R_OTHER,R_2,R_2INCO,R_2_EXCO,TOT_WKRS,T0_9,T10_14,T15_19,T20_24,T25_29,T30_34,T35_44,T45_59,T60,DR_ALONE,CARPOOL,TRANSIT,TR0_9,TR10_14,TR15_19,TR20_24,TR25_29,TR30_34,TR35_44,TR45_59,TR60,WALK,TOT_HSHD,MED_INC,TPOP18,TOT_DIS,OC_UNITS,ZERO_VEH,Lat,Long,TOWN,Neighborhood,Place_Label,Town
0,25,21,422302,2,2.50214E+11,Block Group 2,G5030,S,345359,0,42.1865194,-70.9418776,G25002104223022,3135.109579,345358.1902,G25002104223022,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4223.02, Norfolk County, Massachusetts",914,0,121,149,41.5,766,274,22,0,0,0,0,126,0,126,478,0,29,88,23,0,62,116,50,110,424,27,27,0,0,0,0,0,0,0,0,27,0,513,64766,738,85,513,15,42.18651937,42.18651937,WEYMOUTH,,Weymouth,Weymouth
1,25,21,443102,1,2.50214E+11,Block Group 1,G5030,S,6958987,274480,42.0648773,-71.4698747,G25002104431021,14683.05357,7233469.822,G25002104431021,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4431.02, Norfolk County, Massachusetts",1758,77,286,146,42.2,1694,64,27,0,19,0,18,0,0,0,1027,48,115,90,63,14,58,217,221,201,944,19,64,0,0,0,0,0,0,0,24,40,0,743,79760,1358,117,743,0,42.06815084,42.06815084,BELLINGHAM,,Bellingham,Bellingham
2,25,21,410400,1,2.50214E+11,Block Group 1,G5030,S,1920160,2941,42.0787615,-71.2284229,G25002104104001,6656.299284,1923100.32,G25002104104001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4104, Norfolk County, Massachusetts",1064,31,16,132,45.4,1033,48,0,0,14,0,0,17,0,17,482,69,27,88,27,25,41,28,94,83,397,28,57,0,0,0,0,0,0,0,14,43,0,379,110089,757,62,379,0,42.07830866,42.07830866,FOXBOROUGH,,Foxborough,Foxborough
3,25,21,417501,2,2.50214E+11,Block Group 2,G5030,S,264921,837760,42.2816909,-71.0184909,G25002104175012,2130.430548,264922.5469,G25002104175012,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4175.01, Norfolk County, Massachusetts",1366,102,109,203,40.2,823,602,0,0,402,0,82,59,59,0,666,44,131,54,58,95,52,24,149,59,406,78,148,0,0,0,0,47,0,14,71,16,0,475,76036,1051,101,475,15,42.28219915,42.28219915,QUINCY,,Quincy,Quincy
4,25,21,418101,3,2.50214E+11,Block Group 3,G5030,S,168921,0,42.2502696,-71.0068456,G25002104181013,1713.891397,168921.1426,G25002104181013,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4181.01, Norfolk County, Massachusetts",859,31,247,137,29.8,478,381,230,0,151,0,0,0,0,0,365,37,39,0,14,58,76,28,19,94,246,0,119,0,0,0,0,0,14,28,19,58,0,374,59511,613,46,374,101,42.25026966,42.25026966,QUINCY,,Quincy,Quincy
5,25,21,403400,1,2.50214E+11,Block Group 1,G5030,S,6173658,297178,42.2770336,-71.2759315,G25002104034001,13447.90962,6470837.139,G25002104034001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4034, Norfolk County, Massachusetts",1620,38,143,271,43.7,1194,536,26,0,276,0,14,110,0,110,711,26,75,46,123,43,145,97,112,44,608,53,50,0,0,0,0,0,0,0,23,27,0,500,212000,1196,56,500,0,42.27488025,42.27488025,NEEDHAM,,Needham,Needham
6,25,21,413100,1,2.50214E+11,Block Group 1,G5030,S,6929311,139026,42.1876002,-71.1702287,G25002104131001,15251.02627,7068340.709,G25002104131001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4131, Norfolk County, Massachusetts",1382,11,158,324,44.7,1235,207,64,0,23,0,0,60,0,60,720,98,67,49,96,117,124,41,67,61,592,96,32,0,0,0,0,0,0,0,16,16,0,476,103816,1053,103,476,0,42.19225388,42.19225388,NORWOOD,,Norwood,Norwood
7,25,21,423100,6,2.50214E+11,Block Group 6,G5030,S,4180198,31643,42.2504695,-70.835442,G25002104231006,12652.28956,4211842.306,G25002104231006,Massachusetts,Norfolk County,"Block Group 6, Census Tract 4231, Norfolk County, Massachusetts",1729,99,164,96,37.4,1698,47,0,0,0,0,15,16,16,0,860,99,101,105,38,14,129,35,145,194,634,59,167,0,0,21,0,0,0,0,31,115,0,525,206250,1151,17,525,0,42.2493588,42.2493588,COHASSET,,Cohasset,Cohasset
8,25,21,423100,4,2.50214E+11,Block Group 4,G5030,S,4398261,54127859,42.262428,-70.7988829,G25002104231004,23540.89746,4593035.775,G25002104231004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4231, Norfolk County, Massachusetts",2305,0,170,238,41.5,2245,120,0,0,0,0,0,60,0,60,796,96,54,83,49,13,25,85,31,360,546,0,233,0,0,21,0,0,0,74,19,119,17,741,122309,1468,87,741,15,42.25423379,42.25423379,COHASSET,,Cohasset,Cohasset
9,25,21,405100,4,2.50214E+11,Block Group 4,G5030,S,12298724,268473,42.2371829,-71.252256,G25002104051004,16869.13166,12567200.11,G25002104051004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4051, Norfolk County, Massachusetts",874,19,43,169,45.4,729,212,0,9,69,0,0,67,0,67,297,8,19,57,48,9,49,8,53,46,254,0,35,0,0,0,0,0,0,0,35,0,8,295,170694,593,27,295,0,42.23767879,42.23767879,DOVER,,Dover,Dover
10,25,21,417902,1,2.50214E+11,Block Group 1,G5030,S,215446,0,42.2477807,-70.990908,G25002104179021,1958.937668,215446.172,G25002104179021,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4179.02, Norfolk County, Massachusetts",1329,86,339,84,30,953,376,71,0,232,0,73,0,0,0,702,81,107,116,34,17,173,29,38,107,516,38,108,0,0,0,0,0,12,8,38,50,35,547,32489,981,111,547,62,42.24778066,42.24778066,QUINCY,,Quincy,Quincy
11,25,21,416300,2,2.50214E+11,Block Group 2,G5030,S,232402,0,42.2604563,-71.0896661,G25002104163002,2179.785594,232401.6624,G25002104163002,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4163, Norfolk County, Massachusetts",770,56,101,90,39.1,516,280,228,0,0,0,0,26,0,26,354,1,66,111,53,38,18,32,21,14,277,65,11,0,0,0,0,0,0,0,11,0,1,267,96715,588,76,267,32,42.26045627,42.26045627,MILTON,,Milton,Milton
12,25,17,382601,3,2.50174E+11,Block Group 3,G5030,S,945766,925,42.2784308,-71.3789518,G25001703826013,4440.640509,946689.8727,G25001703826013,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3826.01, Middlesex County, Massachusetts",1695,76,203,213,42.4,1428,312,7,0,153,0,62,45,0,45,813,17,55,80,159,47,132,66,150,107,686,77,35,0,0,0,0,0,0,0,0,35,0,630,99531,1202,109,630,53,42.27738114,42.27738114,NATICK,,Natick,Natick
13,25,17,383501,3,2.50174E+11,Block Group 3,G5030,S,551810,7843,42.2940721,-71.4224852,G25001703835013,3190.891345,559655.9148,G25001703835013,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3835.01, Middlesex County, Massachusetts",1121,72,180,56,28.8,779,404,102,0,129,0,49,62,10,52,617,99,192,12,54,6,101,14,70,69,528,50,29,0,0,0,0,0,0,0,9,20,10,427,67639,773,153,427,7,42.29416075,42.29416075,FRAMINGHAM,,Framingham,Framingham
14,25,17,326101,1,2.50173E+11,Block Group 1,G5030,S,11629346,92056,42.5922286,-71.5571994,G25001703261011,17950.07551,11721401.31,G25001703261011,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3261.01, Middlesex County, Massachusetts",918,41,89,216,53.5,882,45,0,3,24,0,0,9,0,9,429,99,14,32,20,27,36,11,64,126,408,21,0,0,0,0,0,0,0,0,0,0,0,409,106086,767,19,409,0,42.58707285,42.58707285,GROTON,,Groton,Groton
15,25,17,315402,2,2.50173E+11,Block Group 2,G5030,S,4932841,83578,42.6054398,-71.1809801,G25001703154022,13584.15784,5016418.482,G25001703154022,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3154.02, Middlesex County, Massachusetts",2082,117,321,285,43.6,2028,54,25,18,11,0,0,0,0,0,1182,116,121,153,161,96,162,112,130,131,1095,70,17,0,0,0,0,0,0,0,0,17,0,719,107112,1652,172,719,5,42.60397004,42.60397004,TEWKSBURY,,Tewksbury,Tewksbury
16,25,17,320103,1,2.50173E+11,Block Group 1,G5030,S,17076347,409237,42.242349,-71.5280063,G25001703201031,19599.09797,17485583.96,G25001703201031,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3201.03, Middlesex County, Massachusetts",2773,129,216,311,40.4,2459,358,14,0,247,0,9,44,0,44,1146,127,110,132,131,54,156,83,142,211,984,85,48,0,0,0,0,0,0,0,0,48,23,1060,114667,1963,170,1060,40,42.24650481,42.24650481,HOPKINTON,,Hopkinton,Hopkinton
17,25,21,417100,3,2.50214E+11,Block Group 3,G5030,S,223727,0,42.2608957,-71.025332,G25002104171003,2468.831335,223726.3102,G25002104171003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4171, Norfolk County, Massachusetts",1223,18,188,164,34.9,850,398,0,0,348,0,0,25,0,25,583,26,78,18,58,47,16,80,171,89,382,0,185,0,0,0,0,0,0,33,123,29,0,368,93594,816,39,368,29,42.26089567,42.26089567,QUINCY,,Quincy,Quincy
18,25,21,457100,3,2.50215E+11,Block Group 3,G5030,S,1373925,0,42.129232,-71.0355593,G25002104571003,5278.887449,1373927.479,G25002104571003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4571, Norfolk County, Massachusetts",937,47,210,169,38,526,411,411,0,0,0,0,0,0,0,529,37,45,53,50,66,106,38,85,49,464,49,16,0,0,0,0,0,6,0,0,10,0,398,64107,728,51,398,23,42.12923209,42.12923209,AVON,,Avon,Avon
19,25,21,403400,4,2.50214E+11,Block Group 4,G5030,S,437145,3411,42.2796678,-71.2511354,G25002104034004,2944.781075,440557.7912,G25002104034004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4034, Norfolk County, Massachusetts",548,0,89,83,49.3,548,0,0,0,0,0,0,0,0,0,349,36,12,43,37,12,98,12,22,77,262,0,87,0,0,0,0,0,44,0,0,43,0,231,162784,453,64,231,13,42.27885255,42.27885255,NEEDHAM,,Needham,Needham
20,25,21,410100,2,2.50214E+11,Block Group 2,G5030,S,7252243,219023,42.0778542,-71.2640443,G25002104101002,16430.32782,7471258.912,G25002104101002,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4101, Norfolk County, Massachusetts",2180,17,274,509,48.7,2080,141,45,0,0,0,14,41,0,41,900,156,84,86,112,118,80,66,90,108,810,51,28,0,0,0,0,0,0,12,0,16,11,1098,44600,1779,449,1098,136,42.07863401,42.07863401,FOXBOROUGH,,Foxborough,Foxborough
21,25,21,407100,1,2.50214E+11,Block Group 1,G5030,S,13028347,269897,42.1797867,-71.3740333,G25002104071001,20945.51946,13298244.7,G25002104071001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4071, Norfolk County, Massachusetts",1253,80,158,104,45.3,1253,0,0,0,0,0,0,0,0,0,676,46,71,24,124,35,79,54,123,120,592,46,24,0,0,0,0,0,0,0,0,24,0,421,85469,1007,57,421,0,42.18188795,42.18188795,MILLIS,,Millis,Millis
22,25,21,440100,1,2.50214E+11,Block Group 1,G5030,S,1092830,4599,42.0059687,-71.3183356,G25002104401001,5576.386423,1097432.308,G25002104401001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4401, Norfolk County, Massachusetts",922,45,97,339,55.9,875,47,0,7,40,0,0,0,0,0,489,64,64,48,85,0,63,122,0,43,403,73,13,0,0,0,0,0,0,0,0,13,0,503,39226,830,245,503,80,42.00701509,42.00701509,PLAINVILLE,,Plainville,Plainville
23,25,17,332400,1,2.50173E+11,Block Group 1,G5030,S,3635059,2927,42.4944747,-71.2081726,G25001703324001,9367.211084,3637985.704,G25001703324001,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3324, Middlesex County, Massachusetts",2023,51,219,474,47.8,1870,167,75,0,64,0,0,14,0,14,956,177,124,138,146,32,86,91,85,77,866,37,31,0,0,0,0,0,0,0,0,31,16,743,102404,1606,215,743,106,42.4950273,42.4950273,BURLINGTON,,Burlington,Burlington
24,25,21,416200,1,2.50214E+11,Block Group 1,G5030,S,249824,0,42.2597689,-71.09524,G25002104162001,2621.028906,249824.3889,G25002104162001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4162, Norfolk County, Massachusetts",860,0,275,50,32.3,183,697,606,0,34,0,17,20,0,20,348,0,0,14,21,0,170,33,50,60,236,0,97,0,0,0,0,0,22,0,33,42,0,351,68583,597,47,351,47,42.25976898,42.25976898,MILTON,,Milton,Milton
25,25,17,339300,3,2.50173E+11,Block Group 3,G5030,S,305781,9978,42.4185767,-71.1372416,G25001703393003,2983.401834,315761.3402,G25001703393003,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3393, Middlesex County, Massachusetts",1513,72,400,206,37,908,641,500,0,68,0,1,36,0,36,868,7,147,44,158,54,93,188,128,49,544,82,233,0,0,0,21,21,23,107,53,8,0,577,83413,1262,153,577,64,42.41923043,42.41923043,MEDFORD,,Medford,Medford
26,25,21,400800,3,2.50214E+11,Block Group 3,G5030,S,182679,0,42.3392646,-71.1221424,G25002104008003,2230.306646,182680.037,G25002104008003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4008, Norfolk County, Massachusetts",2479,60,585,815,42.4,1942,553,66,0,407,0,48,16,0,16,1083,41,29,60,255,57,227,267,131,16,251,59,479,0,0,0,17,32,158,203,69,0,255,1185,49959,1944,185,1185,526,42.3392646,42.3392646,BROOKLINE,,Brookline,Brookline
27,25,21,418002,3,2.50214E+11,Block Group 3,G5030,S,227493,0,42.2376993,-71.0019932,G25002104180023,2383.96453,227492.0475,G25002104180023,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4180.02, Norfolk County, Massachusetts",894,25,281,75,36.1,830,79,14,0,35,0,0,15,0,15,591,59,36,74,139,15,88,9,56,115,432,44,89,0,0,0,12,0,9,0,40,28,0,459,73472,770,25,459,27,42.23769937,42.23769937,QUINCY,,Quincy,Quincy
28,25,21,404400,5,2.50214E+11,Block Group 5,G5030,S,3756124,588117,42.2875485,-71.313082,G25002104044005,12001.12713,4344241.282,G25002104044005,Massachusetts,Norfolk County,"Block Group 5, Census Tract 4044, Norfolk County, Massachusetts",3128,2202,421,136,20.6,2080,1223,192,0,604,0,77,175,29,146,1441,590,320,147,107,16,79,51,72,59,313,130,105,0,0,0,21,0,15,15,15,39,871,252,186848,511,47,252,10,42.28624277,42.28624277,WELLESLEY,,Wellesley,Wellesley
29,25,21,410400,3,2.50214E+11,Block Group 3,G5030,S,2506109,51568,42.1000944,-71.2432488,G25002104104003,8256.489902,2557673.137,G25002104104003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4104, Norfolk County, Massachusetts",926,13,112,76,41.2,926,0,0,0,0,0,0,0,0,0,449,41,78,67,40,0,115,0,81,27,436,0,13,0,0,0,0,0,0,0,0,13,0,276,120625,599,30,276,0,42.09778384,42.09778384,FOXBOROUGH,,Foxborough,Foxborough
30,25,21,403300,3,2.50214E+11,Block Group 3,G5030,S,5410373,190982,42.2685484,-71.2545078,G25002104033003,12924.27512,5601351.245,G25002104033003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4033, Norfolk County, Massachusetts",2088,58,114,247,38.1,1982,172,9,0,31,0,0,66,0,66,752,76,67,76,97,29,146,72,134,55,573,60,72,0,0,0,0,0,0,25,35,12,6,620,183571,1300,80,620,0,42.26496787,42.26496787,NEEDHAM,,Needham,Needham
31,25,21,402101,4,2.50214E+11,Block Group 4,G5030,S,2328027,216581,42.2656637,-71.1853387,G25002104021014,12314.62693,2544599.39,G25002104021014,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4021.01, Norfolk County, Massachusetts",1521,26,234,281,42.1,1409,112,47,0,65,0,0,0,0,0,824,156,101,189,88,21,128,52,48,41,685,80,11,0,0,0,0,0,11,0,0,0,38,623,62656,1186,127,623,47,42.2673329,42.2673329,DEDHAM,,Dedham,Dedham
32,25,21,413300,1,2.50214E+11,Block Group 1,G5030,S,1029149,3683,42.2015614,-71.2131413,G25002104133001,4684.36059,1032833.446,G25002104133001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4133, Norfolk County, Massachusetts",2760,139,589,265,33.4,2452,344,89,0,81,0,102,36,0,36,1301,165,175,135,78,135,250,91,155,117,1142,62,76,0,0,0,0,0,18,8,27,23,11,1008,95897,1995,271,1008,73,42.2009133,42.2009133,NORWOOD,,Norwood,Norwood
33,25,21,418200,4,2.50214E+11,Block Group 4,G5030,S,12334861,91313,42.218278,-71.0547891,G25002104182004,19697.31605,12426172.65,G25002104182004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4182, Norfolk County, Massachusetts",1936,22,468,290,37.9,1207,887,152,0,371,0,48,158,108,50,1059,78,93,64,187,74,123,49,292,99,884,96,79,0,0,0,0,0,17,0,24,38,0,849,105022,1582,143,849,93,42.22451782,42.22451782,QUINCY,,Quincy,Quincy
34,25,17,351404,1,2.50174E+11,Block Group 1,G5030,S,108113,0,42.3828838,-71.0831052,G25001703514041,1463.066022,108112.3711,G25001703514041,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3514.04, Middlesex County, Massachusetts",864,40,273,79,35.7,534,404,0,0,242,0,14,74,0,74,550,0,60,42,150,4,127,68,84,15,348,35,95,0,0,0,31,0,7,9,48,0,49,329,55560,776,74,329,64,42.38288377,42.38288377,SOMERVILLE,East Somerville,East Somerville,Somerville
35,25,17,383902,1,2.50174E+11,Block Group 1,G5030,S,6741146,31845,42.3228956,-71.4748297,G25001703839021,13401.38281,6772991.696,G25001703839021,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3839.02, Middlesex County, Massachusetts",2460,73,289,294,49,2173,307,81,0,171,0,15,20,0,20,1339,137,143,132,129,78,147,230,222,121,1096,168,48,0,0,0,0,0,0,0,20,28,18,833,163523,1944,97,833,28,42.32205682,42.32205682,FRAMINGHAM,,Framingham,Framingham
36,25,21,412200,2,2.50214E+11,Block Group 2,G5030,S,9506945,247203,42.2389063,-71.2140728,G25002104122002,21694.7842,9754146.248,G25002104122002,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4122, Norfolk County, Massachusetts",1834,36,56,615,54.3,1808,26,5,0,21,0,0,0,0,0,575,52,50,72,20,21,60,81,145,74,389,103,48,0,0,0,0,0,0,8,32,8,20,816,113636,1369,191,816,102,42.23545731,42.23545731,WESTWOOD,,Westwood,Westwood
37,25,21,419600,2,2.50214E+11,Block Group 2,G5030,S,1040138,0,42.1738875,-71.0154935,G25002104196002,5393.688739,1040141.318,G25002104196002,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4196, Norfolk County, Massachusetts",1283,54,308,269,47.3,1186,97,37,0,60,0,0,0,0,0,629,78,68,109,106,16,63,52,82,55,447,94,25,0,0,0,0,0,0,0,16,9,41,504,73889,1129,291,504,116,42.17388767,42.17388767,BRAINTREE,,Braintree,Braintree
38,25,21,417100,1,2.50214E+11,Block Group 1,G5030,S,143316,0,42.2641412,-71.0207594,G25002104171001,1539.777943,143316.3392,G25002104171001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4171, Norfolk County, Massachusetts",388,41,148,48,30.7,225,196,12,0,118,0,0,33,0,33,237,8,8,66,31,11,9,26,35,43,155,11,65,0,0,0,16,0,0,17,10,22,6,181,67917,347,26,181,36,42.26414116,42.26414116,QUINCY,,Quincy,Quincy
39,25,21,443102,2,2.50214E+11,Block Group 2,G5030,S,11171456,142828,42.040655,-71.472414,G25002104431022,20605.58839,11314280.15,G25002104431022,Massachusetts,Norfolk County,"Block Group 2, Census Tract 4431.02, Norfolk County, Massachusetts",2887,128,340,418,42,2631,360,14,0,138,0,0,104,0,104,1500,76,144,282,159,149,133,96,184,277,1399,24,61,0,0,37,0,0,0,0,0,24,0,970,100972,2208,177,970,0,42.0389119,42.0389119,BELLINGHAM,,Bellingham,Bellingham
40,25,21,442202,1,2.50214E+11,Block Group 1,G5030,S,3039147,9317,42.0842101,-71.3749131,G25002104422021,12437.96396,3048464.118,G25002104422021,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4422.02, Norfolk County, Massachusetts",3129,275,463,508,40.7,3017,199,2,19,4,0,0,87,0,87,1379,253,176,119,72,42,111,149,93,364,1009,121,186,0,0,0,0,0,0,0,0,186,56,1221,66827,2281,398,1221,114,42.08683291,42.08683291,FRANKLIN,,Franklin,Franklin
41,25,21,407100,3,2.50214E+11,Block Group 3,G5030,S,6552683,215038,42.1700753,-71.3385649,G25002104071003,18134.20744,6767720.334,G25002104071003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4071, Norfolk County, Massachusetts",2288,36,369,268,38.4,2273,15,0,0,0,0,15,0,0,0,1074,251,26,114,131,46,111,175,115,105,1012,31,0,0,0,0,0,0,0,0,0,0,31,865,95524,1658,289,865,0,42.16611734,42.16611734,MILLIS,,Millis,Millis
42,25,21,413100,5,2.50214E+11,Block Group 5,G5030,S,612658,0,42.1846748,-71.1976524,G25002104131005,4221.174391,612656.1961,G25002104131005,Massachusetts,Norfolk County,"Block Group 5, Census Tract 4131, Norfolk County, Massachusetts",1042,45,93,222,49.3,980,62,1,0,30,0,31,0,0,0,481,95,11,27,25,33,77,70,61,82,417,0,64,0,0,0,0,0,0,10,31,23,0,462,59375,868,97,462,40,42.18467491,42.18467491,NORWOOD,,Norwood,Norwood
43,25,17,335302,3,2.50173E+11,Block Group 3,G5030,S,803679,0,42.5076365,-71.0606859,G25001703353023,4009.534115,803677.8584,G25001703353023,Massachusetts,Middlesex County,"Block Group 3, Census Tract 3353.02, Middlesex County, Massachusetts",746,22,57,120,48.3,654,167,0,17,0,0,0,75,0,75,419,48,87,46,50,21,46,48,55,18,344,64,11,0,0,0,0,0,0,0,11,0,0,350,62656,596,63,350,16,42.50763656,42.50763656,WAKEFIELD,,Wakefield,Wakefield
44,25,17,326102,1,2.50173E+11,Block Group 1,G5030,S,23164337,584139,42.6209316,-71.52811,G25001703261021,24454.16516,23748473.04,G25001703261021,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3261.02, Middlesex County, Massachusetts",2578,109,149,451,44.9,2456,165,20,18,41,0,0,43,0,43,992,50,36,84,91,78,161,156,168,168,904,52,16,0,0,0,0,0,0,0,0,16,20,980,118198,1960,198,980,60,42.62245194,42.62245194,GROTON,,Groton,Groton
45,25,17,351204,1,2.50174E+11,Block Group 1,G5030,S,222281,0,42.3829045,-71.1078452,G25001703512041,2563.974807,222282.8746,G25001703512041,Massachusetts,Middlesex County,"Block Group 1, Census Tract 3512.04, Middlesex County, Massachusetts",1271,29,446,80,31,1080,205,51,0,29,0,97,14,0,14,616,49,76,148,79,30,100,67,39,28,334,63,90,17,0,11,0,13,8,0,28,13,111,503,74844,1006,145,503,132,42.38290448,42.38290448,SOMERVILLE,Ward Two,Ward Two,Somerville
46,25,17,353101,2,2.50174E+11,Block Group 2,G5030,S,210461,0,42.3632147,-71.0970958,G25001703531012,2430.578209,210460.7565,G25001703531012,Massachusetts,Middlesex County,"Block Group 2, Census Tract 3531.01, Middlesex County, Massachusetts",912,112,330,37,25.4,661,267,87,0,131,0,17,16,0,16,433,72,71,40,69,31,94,32,0,24,91,10,118,0,0,0,17,7,45,32,0,17,195,285,70125,617,61,285,79,42.36321472,42.36321472,CAMBRIDGE,The Port,The Port,Cambridge
47,25,17,356701,6,2.50174E+11,Block Group 6,G5030,S,205675,0,42.4052303,-71.14795,G25001703567016,3840.122581,205674.5594,G25001703567016,Massachusetts,Middlesex County,"Block Group 6, Census Tract 3567.01, Middlesex County, Massachusetts",853,18,150,151,55.1,609,309,84,0,80,0,15,65,0,65,464,17,68,75,90,50,32,78,27,27,329,26,81,0,14,0,0,0,32,35,0,0,0,440,86111,775,49,440,46,42.40969378,42.40969378,ARLINGTON,,Arlington,Arlington
48,25,21,419300,4,2.50214E+11,Block Group 4,G5030,S,448328,0,42.2277078,-70.9806423,G25002104193004,3921.599691,448326.3261,G25002104193004,Massachusetts,Norfolk County,"Block Group 4, Census Tract 4193, Norfolk County, Massachusetts",898,21,126,143,42.2,758,146,0,0,57,0,77,6,6,0,428,27,49,50,79,14,70,59,28,52,360,15,40,0,0,0,0,0,0,13,6,21,13,335,87344,705,76,335,15,42.22610391,42.22610391,BRAINTREE,,Braintree,Braintree
49,25,21,419400,1,2.50214E+11,Block Group 1,G5030,S,941093,189611,42.2344897,-70.9724331,G25002104194001,4630.179052,941091.9612,G25002104194001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4194, Norfolk County, Massachusetts",708,74,100,116,45.4,687,32,0,0,0,0,10,11,11,0,426,93,24,41,33,25,97,9,58,46,368,20,38,0,0,0,0,0,0,0,10,28,0,266,83438,619,76,266,9,42.23356807,42.23356807,BRAINTREE,,Braintree,Braintree
50,25,21,419400,3,2.50214E+11,Block Group 3,G5030,S,447126,17413,42.2262036,-70.9729311,G25002104194003,3553.549485,448938.4544,G25002104194003,Massachusetts,Norfolk County,"Block Group 3, Census Tract 4194, Norfolk County, Massachusetts",1485,60,191,303,39.4,1269,250,0,0,182,0,0,34,0,34,675,65,66,56,130,15,80,62,38,163,452,122,91,0,0,0,9,0,0,18,21,43,1,537,51641,1096,218,537,76,42.22621207,42.22621207,BRAINTREE,,Braintree,Braintree
51,25,21,419700,1,2.50214E+11,Block Group 1,G5030,S,1430504,13975,42.1993086,-70.99119,G25002104197001,5705.630627,1444482.067,G25002104197001,Massachusetts,Norfolk County,"Block Group 1, Census Tract 4197, Norfolk County, Massachusetts",1374,64,138,252,47,1120,267,0,0,202,0,39,13,13,0,626,73,110,68,120,8,75,28,37,107,533,32,54,0,0,0,0,0,0,15,9,30,0,457,94148,1084,139,457,0,42.19957618,42.19957618,BRAINTREE,,Braintree,Braintree
52,25,25,91100,4,2.50251E+11,Block Group 4,G5030,S,70845,0,42.3144418,-71.0583414,G25002500911004,1058.299692,70844.50823,G25002500911004,Massachusetts,Suffolk County,"Block Group 4, Census Tract 911, Suffolk County, Massachusetts",596,15,200,35,34.4,324,272,44,0,173,0,55,0,0,0,291,0,15,72,22,45,38,0,27,72,201,14,68,0,0,0,0,20,24,0,7,17,0,218,90909,467,25,218,44,42.31444183,42.31444183,BOSTON,Dorchester,Dorchester,Boston
53,25,25,91100,5,2.50251E+11,Block Group 5,G5030,S,66634,0,42.3170504,-71.0579446,G25002500911005,1079.169383,66633.77252,G25002500911005,Massachusetts,Suffolk County,"Block Group 5, Census Tract 911, Suffolk County, Massachusetts",962,0,230,69,30.8,422,586,6,0,305,0,183,46,18,28,444,10,67,77,24,43,68,15,116,24,253,114,47,0,0,0,9,23,0,7,8,0,16,315,49375,685,46,315,103,42.31705043,42.31705043,BOSTON,Dorchester,Dorchester,Boston
54,25,25,91200,1,2.50251E+11,Block Group 1,G5030,S,94930,0,42.318368,-71.060973,G25002500912001,1401.571532,94929.35562,G25002500912001,Massachusetts,Suffolk County,"Block Group 1, Census Tract 912, Suffolk County, Massachusetts",1001,47,324,111,33.1,453,691,132,7,0,0,266,143,129,14,603,44,91,35,55,78,170,18,77,35,356,69,130,0,0,0,24,6,62,7,24,7,0,388,75926,819,79,388,68,42.31836799,42.31836799,BOSTON,Dorchester,Dorchester,Boston
